GivenNames,LastName,BornYear,BornPlace,BornCountry,Latitude,Longitude,DiedYear,UCBCatalog,Wikipedia,Image
Tsitsi ,Dangarembga,1959,Mutoko,Zimbabwe,-17.4, 32.216667,,"https://search.library.berkeley.edu/discovery/search?query=creator,exact,Dangarembga,%20Tsitsi,AND&tab=Default_UCLibrarySearch&search_scope=DN_and_CI&vid=01UCS_BER:UCB&facet=creator,exact,Dangarembga,%20Tsitsi&mode=advanced&offset=0",https://en.wikipedia.org/wiki/Tsitsi_Dangarembga,https://brittlepaper.com/wp-content/uploads/2020/04/51Xt2WngN6L._SX317_BO1204203200_.jpg
NoViolet ,Bulawayo,1981,Tsholotsho,Zimbabwe,-19.766667, 27.75,,"https://search.library.berkeley.edu/discovery/search?query=creator,exact,Bulawayo,%20NoViolet,AND&tab=Default_UCLibrarySearch&search_scope=DN_and_CI&vid=01UCS_BER:UCB&facet=creator,exact,Bulawayo,%20NoViolet&mode=advanced&offset=0",https://en.wikipedia.org/wiki/NoViolet_Bulawayo,https://brittlepaper.com/wp-content/uploads/2020/04/51IJ6ETNylL._SX331_BO1204203200_.jpg
Novuyo Rosa ,Tshuma,1988,Bulawayo,Zimbabwe,-20.17, 28.58,,"https://search.library.berkeley.edu/discovery/search?query=creator,exact,Tshuma,%20Novuyo%20Rosa.,AND&tab=Default_UCLibrarySearch&search_scope=DN_and_CI&vid=01UCS_BER:UCB&facet=creator,exact,Tshuma,%20Novuyo%20Rosa.&mode=advanced&offset=0",https://en.wikipedia.org/wiki/Novuyo Rosa _Tshuma,https://brittlepaper.com/wp-content/uploads/2020/04/91mRiyu2hxL-1-667x1024.jpg
Petina ,Gappah,1971,Copperbelt Province,Zimbabwe,-13, 28,,"https://search.library.berkeley.edu/discovery/search?query=creator,exact,Gappah,%20Petina,AND&tab=Default_UCLibrarySearch&search_scope=DN_and_CI&vid=01UCS_BER:UCB&facet=creator,exact,Gappah,%20Petina&mode=advanced&offset=0",https://en.wikipedia.org/wiki/Petina _Gappah,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Petina_Gappah_Buchmesse.jpg/330px-Petina_Gappah_Buchmesse.jpg
John,Eppel,1947,Lydenburg,South Africa,-19, 30,,"https://search.library.berkeley.edu/discovery/search?query=creator,exact,Eppel,%20John,AND&tab=Default_UCLibrarySearch&search_scope=DN_and_CI&vid=01UCS_BER:UCB&facet=creator,exact,Eppel,%20John&mode=advanced&offset=0",https://en.wikipedia.org/wiki/John_Eppel,https://www.poetryinternational.com/media/2/_resized/5757_eppel__john_wb_w336.gif
Fatima,Kara,,Bulawayo,Zimbabwe,-20.17, 28.58,,"https://search.library.berkeley.edu/discovery/search?query=creator,exact,Kara,%20Fatima,AND&tab=Default_UCLibrarySearch&search_scope=DN_and_CI&vid=01UCS_BER:UCB&facet=creator,exact,Kara,%20Fatima&mode=advanced&offset=0",https://en.wikipedia.org/wiki/Fatima_Kara,https://images.squarespace-cdn.com/content/v1/646273494e157f54869f29bd/5d202f07-8ba7-4dbb-9688-50772e104ddd/0L5A9330+copy.jpeg?format=1500w
Violette,Kee-Tui,,Bulawayo,Zimbabwe,-20.17, 28.58,,"https://search.library.berkeley.edu/discovery/search?query=creator,exact,Kee-Tui,%20Violette,AND&tab=Default_UCLibrarySearch&search_scope=DN_and_CI&vid=01UCS_BER:UCB&facet=creator,exact,Kee-Tui,%20Violette&mode=advanced&offset=0",https://en.wikipedia.org/wiki/Violette_Kee-Tui,https://static1.s123-cdn-static-a.com/uploads/3758816/2000_607ff0dfe72b4.jpg
Sue,Nyathi,1978,Bulawayo,Zimbabwe,-20.17, 28.58,,"https://search.library.berkeley.edu/discovery/search?query=creator,exact,Nyathi,%20Sue.,AND&tab=Default_UCLibrarySearch&search_scope=DN_and_CI&vid=01UCS_BER:UCB&facet=creator,exact,Nyathi,%20Sue.&mode=advanced&offset=0",https://en.wikipedia.org/wiki/Sue_Nyathi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSB7lrGWqrEU9v7lTjGsPiaOPtTcSa-m6R4gQ&s
Bryony,Rheam,,Kadoma ,Zimbabwe,-18.34, 29.9,,"https://search.library.berkeley.edu/discovery/search?query=creator,exact,Rheam,%20Bryony.,AND&tab=Default_UCLibrarySearch&search_scope=DN_and_CI&vid=01UCS_BER:UCB&facet=creator,exact,Rheam,%20Bryony.&mode=advanced&offset=0",https://en.wikipedia.org/wiki/Bryony_Rheam,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSgb773u5wzWXmmiZs9PrCVUg9HtTaDkHB4fQ&s
Doris,Lessing,1919,Kermanshah,Iran,-19, 30,2013,"https://search.library.berkeley.edu/discovery/search?query=creator,exact,Lessing,%20Doris,AND&tab=Default_UCLibrarySearch&search_scope=DN_and_CI&vid=01UCS_BER:UCB&facet=creator,exact,Lessing,%20Doris&mode=advanced&offset=0",https://en.wikipedia.org/wiki/Doris_Lessing,https://i.cbc.ca/1.5140481.1558111041!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_940/doris-lessing.jpg
Charles,Mungoshi,1947,"Manyene, near Chivhu",Zimbabwe,-19, 30.9,2019,"https://search.library.berkeley.edu/discovery/search?query=creator,exact,Mungoshi,%20Charles,AND&tab=Default_UCLibrarySearch&search_scope=DN_and_CI&vid=01UCS_BER:UCB&facet=creator,exact,Mungoshi,%20Charles&mode=advanced&offset=0",https://en.wikipedia.org/wiki/Charles_Mungoshi,https://upload.wikimedia.org/wikipedia/commons/f/fa/FM-2019-1-6-10-31_Niggl-Radloff-B-Charles-Mungoshi-ONLINE.jpg
